stem,label
tau siy cm br denger yg impactedbesar spay sm kak kl ikutin murztea nya akun ecommurz sempet bahas jg pindah ops jateng jd emg yg kontrak yg gak dilanjutin hehehe,negatif
gua cinta,positif
dah jam cari nak makan grab foodpanda still taktahu nak makan,negatif
starap,positif
klu driver mitra kak karyawan,netral
azliiii mending masak,netral
jgnkan pegawai driver jg pm in wkwkwk,netral
trnyata blm,negatif
kalo berita klik terang yg terimpact amp pay even tmn ku yg tech industry emg lg ketarketir jg,negatif
beli reddog nyoba ongkirnya mahal tp voucher gt yah jdnya murah,netral
ohmaiii heavennyaaa gula cakery dah masuk ahhh nom nom nom,positif
weh i check omg banyak voucherrr,positif
collect coins bebanyak so discount beli hehe,positif
ngaruh kah beda,netral
susah masak sibuk mgerjain order tp kadang jajan sih,netral
nih jaket helm pajang doang wkwk semenjak abis lebaran order sepi mager narik,negatif
biaya layan k dah nggak pake deh,negatif
bji mirrr intermedia deket korpri lurussss trs belok kanan disituu abang pake gerobak gofood ato nama lumpia basah seblak al,positif
beli gofood pindah gojek jarangtidak promo cari resto voucher diskon,netral
hah emg ongkirnye brp ayi pake cb biasanye potong gratis ongkir,netral
nak order laaa kat ni,negatif
jimat sikit jela order makan online through grabfood jela haha,netral
abang resah,negatif
abang mohon kalo nganter makan pakek jaket bang muda rumah bawain makan ga pakek jaket nih asa ayang dada,negatif
buang kerja jejas operasi utama kerja shopeepay pasar salah sumber pasar asal asia tenggara syarikat taiwan brazil mexico chile colombia,netral
dpt driver,netral
iyo wkwk ambe shopeepay e pral,netral
mitra maksud driver ga si,netral
jaya,positif
kalo berita yg kena yg shopeepay hiring ecommercenya beda,netral
hai terima kasih minat luas servis ya staytune jh,positif
buka ya kalo driver,netral
udah putus mitra driver amp express mei,negatif
nasib gw sbagai driver gimana klo sampek tutup,negatif
beli makan gihh udh isiin saldo,positif
bismillah moga rezeki driver kadang hp ku suka ngelag buka maps aja kadang gak uang beli bayar tagih listrik bayar utang bayar uang kuliah hehe bismillah,netral
yg phk bgian n shopeepay,netral
udah tutup bisnis prancis sktr yg lalushopee udah tutup bisnis india laluphk massif dampak shoope pay,negatif
ni bangang level dewa ye smlm order kfc bg rider km outlet smpai rider call cancel but both tk ni makan dlm list but then outlet call available so tukar dgn item eh sual better tkyah amik la njir,negatif
oyi rekomendasi warung baik mrnurut jgn lupa ss ya makas,positif
kemarin sliweran timeline kabar shopeepay amp aja bang,netral
mantap gausah makan luar ya aja gratis ongkir diskon lumayan marketing cc,positif
ayo pake logika fuad mas amp ums kog bawa bawa gimana mas,netral
asli gol enak bgtttt kobisa ya makan enak sepi unjung pas bgt lg ken makan nasi uduk tp gaada trnyt nasi gol nasi uduk,positif
ketemu cowo capricorn bulan tanggal beda hari doang tattoo ga enak suka ngirimin fix versi cowo,positif
knp gw gapunya motor cokkkk ongkos gofood grabfood mahal njengggggg,negatif
asliiii enak pake rb,positif
suka bgd pake,positif
jam pagi scroll jam ujung nya bikin indomie,negatif
sumpah driver gaksih ga bikin bete anjing gue kasih k dateng sena ga sesuai bangsat,negatif
pantesan sepi habis bahan bakar pegawai rangin,negatif
jam gin ken sate bumbu kacang nyari gojek abis yg deketdeket keseeelll,negatif
orang suruh prektis masak ko beli grabfoodshopeefood je,positif
problem superapp sih efisien ya coba pakai shopeepay,negatif
knp org org dapet voucher shopeefoodgofoodgrabfood yg bener bener gede banget ya diskon gw ga dapet sedih banget,negatif
i hate late night cravings chill la takde lesen tu benda,negatif
wal umpat betakun buhan kam ada yg mana daftar jual yg ku doa mudah rezeki km yg baca ni lancar beber,netral
udah ngantuk bgt tpi nunggu nyampe dlu karna lg orderin makan ayank,netral
iyaa kak kl ga salah kakak suruh ss makan yg beli gofoodshopee gtu seinget,netral
gagu bang,negatif
sodaratemenkeluarga yg usaha daftar,netral
ga nyambung sat,negatif
ajar buka,negatif
malam dapet ajar harga barusan ken gaco sen tuh metode bayar shopeepay lihat profil drivernya udah keinget huhu inisiatif kasih tip sen malem,positif
edisi oline random ken helm,netral
uaf driver ga ditanyain,netral
kancane yo pikir no bg,negatif
suami jual nasgor yg tinggal daerah bojonggede yg bingung makan masakan nasgor suami wenak pol bnyk pilih menu available gofood grabfood traveloka eats nama restonya nasi goreng premiumbojongbaru thank u,positif
tolong min akun bikin gacor kek,netral
order top upnya ovo oleng banget emily,negatif
maklum pake kalo nambah esteh biar pake diskon,positif
co aja kak biar makan wkwkkw,positif
kamar rapih seprei ganti tugas kuliah kelar udara lumayan dingin ah senang hati ku peluk guling tunggu masyaallah tabarakallah yagesya,positif
my brain makan malam makan malam saat sama tangan ngescroll,netral
gila banget ya biaya kek resto udah kena fee naikin harga mahal ngasih fee ongkir diskon medit gw beli gyoza pinggir jalan k sana langsung gofood k k anjir,negatif
ken ngopiii saranin kopi yg ena dongg,netral
ak jg cinta damai nih bukti ak lg proses kirimin nctzen yg cinta damai,positif
lg scrollin cari diskon yg gede makji,positif
rebah gugulitikan kasur abis plg kerja scroll wkakak,positif
gimana pesan pakai promo isi saldo pay ga pakai promonya tolong direspon bantu,negatif
min jajan,positif
heee sambel matahhhh dimanoss iniii mauuu nder spill nya,netral
gw ga bales chat driver ya status kirim kalo gw chat,negatif
apps kat grab kat mcd apps rm ka,netral
mmg kuat skrg hrmm nya lari situ guna bisa cr yng murah,netral
ngehindari numpake kok wonge riting ndadak jug jug mbelok posisi udan dalane lunyu yowes mak glangsurrr,negatif
pingin choco oreo smoothiesnya mixue bom,negatif
beli tokped dip kayak beda,netral
sen dr jam sampe skrg bom dateng antri klo laper sen makan datengnya ya klo aja cepet banget,negatif
feedback adik td sp sailang byk voucher sp bg kot tu yg kastemer ambik servis tu grab lg sedih,netral
diskon,positif
dpt diskaun byktak pasal ter order starbuck drink,positif
scroll bingung makan apan,negatif
pakai,netral
mumpung promo beli makan makan favorit,positif
min ga kirim pesan driver ya,negatif
harga,negatif
nak order takde line guane ah letih,negatif
datang,negatif
duka aing teh wkwk ya kalo beliin mah moal nolak wkwkk,positif
chicken strip promo rabu bogo vocer diskon,positif
wth rude gila rider dh la call salah number lepastu nk perli sbb call x angkat dh bgitau call number eh perli mcm pulak yg cari alas ni elok je rider call number,negatif
gaada ngirimin gofood gituu,netral
,negatif
flash sale tuh boongan ya pas dateng makan dikit banget,negatif
enak bgt dah kalo mesen makan pake diskon nya gede bgt,positif
males kalo gofoodshopeefood mending jalan makan yg bikin mahal tp biaya luar makan harga makan k pas total an,negatif
makan rada murah coba cek yg flash sale murceee,positif
gue ga nyampe k gue gak direfund anjing,negatif
tau akun gofood wangi ga wangi kayak akun slot,netral
mmg kt pindah,positif
daritadi scroll bingung beli cemilan,negatif
dah suka error chat driver,negatif
bet maleh,positif
order murah malam order claim voucher last bayar rm ja lol,positif
org foto gaco gugah selera yak w gaco udh mah dikit lg,negatif
sana gak,netral
suda teman lg sya,negatif
grabfoodgofoodshopeefood ngejar kerja klo yg rumah perkara nyariin kerudung aja kdg ngerasa ga enak pas sampe udh,netral
ja nyata kanyang,positif
jelek banget ongkir potong goceng doang udh gtu biaya tangan mahal hadeh,negatif
masuk nang eh jimat jugak beli direct,positif
minit je duk scroll nak order bukak puasa,netral
abis scroll mo sen kopi kenang eh harga mas mahal ueueue alhasil bikin kopi sndr deh,negatif
promo bikin khilaf wkwkw,positif
mmg tgah promo grande rm pastu claim voucher tu,positif
njirr bisabisanya makan tp alamat kosan sadar pas bapak nyampe saking gak fokus kudu jemput,negatif
wes wes mbandingke jodo karo sen,negatif
dirumahh jajan pakai,positif
liat tweet saranin enak nge gofood,netral
laper buka gofood grabfood scrollnya jam keburu maagh anjir grgr bingung makan apaa,negatif
perdana sen makan woww wish me luck,positif
beli bom dateng makan pas cek order completed mas dichat sm telepon gabisa,negatif
kak orang macem macem gojekgrablalamovetravelokaeatmaximindrivershopeefood gantung yg yg bunyi kadang mesen aplikasi a eh yg dateng pake jaket b,netral
ngeceknya grabfood kalo gofood jarang buka,positif
phk ya kirain shopeepay pisah maap inggris gua jelek bgt,negatif
mending pake aja sih udah diskon free ongkir driver nya ramah ramah kalo hujan antar,positif
bener beli gaco juanda udh kayak war tiket rajin cek,negatif
ken narik dah,positif
mas mas pas sen kali,netral
gue yg gak beli makan via gofood grabfood apa nama deliverynya gak tau kek gin wkwkwk,negatif
rencana beli cake taeil karna dana nggak beli kfc aja mumpung voucher,positif
bikin gua happy beli celana online pas dateng bagus nyaman banget dipakenyaa makan shusi hasil promo kerja beres pulang on time gua tulis sederhana yg bikin gua happy biar gua harga hidup gua,positif
pantesan beli gak dpet wkwk,negatif
ini voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi daerah aja,positif
pergh hujan lebat dgn kilat nya abg lambat pon tkpe,netral
pgn order tp gk enak klo abang nya kehujanann,netral
ga,netral
tf daftar merchant susah banget ya bunnn udah ga ketrima ketrima,negatif
sayang voucher kat hehe,positif
punten rekomendasi makan orang sakit,netral
pesan karna beli obat makan titip sbntr pas pulang makan periksa emg sih nanya ayah ga buka,negatif
grabfood gofood assalamualaikum duid,positif
udah makjii aja sen ngescroll jam,negatif
biaya layan biaya tambah parah banget sih sami mawon tanjung kimpul mah,negatif
wkwk ni,positif
boy gatel bngt tangan pls diskon mundur dlu jd minggu,netral
aja wkwkwkwkw,positif
ig follow up,netral
anjeng kalo restonya tutup knp mas anjiirrrrr gabisa dibatalin sana,negatif
nih kasih diskon gede harga dinaikin delivery fee packaging fee platform fee ya aja,negatif
yg udah beli pake gaada yg tulis buy get ya beli ragu,negatif
hahahha,positif
hahahaha bodoh yg tuju,negatif
bahaya foodpandashopeefoodgrabfood nirasa mcm kene buang semuatapi tulah xleh buang,negatif
nemu seblak enak lt,positif
honestly area i susah nak dapat a cup of coffee kopi mamak nescafe bancuh after am so we decided buka malam available on and grabfood too,positif
,positif
bukti cepat takat ni cepat amp tuntas both shopeexpress amp foodpanda,positif
iyaa wkwk lbh suka masak,positif
knpa chat gw mas nya kaga kirim,negatif
buka grabfood buka gofood buka jam dah bolak aplikasi ndak ktmu nak makan ape dasar ceweeee,negatif
beli dapet pilih yg buy get tdi liat gak yg tulis buy get gmn sih,negatif
dpt asli dah nyari driver bgt,negatif
sing ngirim dewe sing deg deg an ya allah senep wetengku,netral
off day ne min senin nyantai donk nya mager masak order jd selamat ne perut hehe,positif
yaallah gua cinta bgt lu asli,positif
ni dtg terbang please,netral
iyaa pindah,positif
engga kak pake kode voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi,positif
ini voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi,positif
bukann voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi,positif
emang beli promo dikit banget orang yg buka jasa order fiktif dagang langgan gitu order fiktif kayak beli harga ribu ribu,netral
ini voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi,positif
ini voucher diskon k kode hematbanget hematnian ngiritpol hematbetol pake sopipay yaa tpi,positif
iya banget sih minggu harap dapet voucher gofood masuk akun fix minggu makan pake grab,netral
sih gak erti especially lo ya free ong maksud maksud gue bm that bread like wtf how dare u,negatif
ni nak minum kopi pulak order kat je la,positif
berbaloi pergi kedai harga murah,positif
sebenernya nyaman nyaman aja gofood grabfood jga nggak mahal malang udah biasa mudah jangkau alfamart indomart aja effort,negatif
yg udah beli via,netral
tanggung raono,negatif
hai kak mie gaco promo grabfood silah klaim voucher mas ya kak,positif
gas miin ken jajan nii,positif
menggojekgrabshopeefood brow,positif
knp ga kue cubit,negatif
ucu bgt aaaa ky,positif
kalo nunggu event share link ituu kak mayan banget disc pot k dapet gratong k,positif
im tau promo makan ga ya shopeefoodgofoodgrabfood gitu akun bau ga dpt voc makan,netral
kali sen sampe jam sampe jg pdhl cm km resto nya,negatif
promo,positif
harap kalini takde ek ni lapar nasi,netral
kar gasalah gofoodgrafood adaa deh,netral
gofood grabfood mahal emg bener gue jalan kaki aja telusur palembang nyari makan,negatif
jam serba mahal mending beli kalo sih masak nasi lauk beli yg promo,positif
uji coba onbid jam order serius loh mayoritas drivernya pakai tuyul,positif
tim it nya ajar atas fake gps tuyul serius banget analisa driver tuyul,negatif
nyenengin temen in karna ulang kost skrng udh pisah ndek mojokerto temenku ndek jakarta jaaauh wkkwkw,positif
sumpahhh scroll scroll gofoodshopeefood grabfood nyari cemilan jam gin ujung ujung gajadi wasting time bnget g si,negatif
cowo pesan makan gak,netral
malam anak profesi driver penuh bonus order anjak order tambah bonus dapat order kunjung order,netral
gabeli online aja banget beli,netral
tp beli maem situ pake,positif
rice cooker jarang bgt masak nasi hari minimal bgt sampe ribu makan pake kalo kosan doang kalo hari kampus gt ribu sih kalo standardku ribu udah murah bgt,netral
diskon kurang andal lapar,negatif
pikir mas nya shopeefoodsmg ganti lancar utk order,positif
jam gin bapak berani ga yaa hshsh pepet laper bgt jujur,netral
gue ngeh jarang bgt jajan sekali jajan tuh kaget jg irit gin tbtb,positif
min cek dm,netral
kali order dibatalin sistem gara gaada driver temen ngajak makan alhamdulillah untung bom reog,negatif
anak kosan wkwkwk karna udah mahal alih mie aja wkwk,negatif
ga tau sih aja udah pelit vouchernya,negatif
dm ajj ya,netral
wtb voucher gofood grabfood,netral
udah coba pake gojek gitu si tp alamat ga cantum,negatif
gak nyesel karangploso ketemu masmas cakep bgt anj,positif
sedih sungguh oder creamy carbonara spaghetti pax tadidapat pax jer oder request refund lambatsangat lapar,negatif
voucher cek,netral
anj knp nangor ga dah,negatif
jagswjavsajah dimarahin org gomen mas,negatif
jam menit bolak balek menu gofood,negatif
pilih makan enak capai nilai minimum diskon sesuai tu pusing dr mikirin gebetanmu yg online tp kunjung balas chatmu,positif
sedih banget sen tbtb hujan deres langsung pikir bapak gimana eh pas nyampek gak tega banget bapak gak pake jas hujan bawa anak pulaa,negatif
pake indriver kadang dateng driver gojek grab kadang bawa kotak makan khas,netral
grab gojek mas,netral
ih tau aja gabisa buka beliin ayang jajan godood aja ya,negatif
ujan reda sampe ujan scroll kaga orderorder nyieun mie weh ah kesel,negatif
ken kerja,positif
beneran daftar teh,netral
ness ya ness ken bakaranpenyetan,netral
ken nasiii abuu ko gada ya,negatif
lgs resto td liat grab kak beli bowlnya doang,negatif
haloo jatinangor gada yaa mahasiswa sana butuh jasa,negatif
hai min cek dm ku,netral
brpx makan k porsi alias,positif
kenapaa jatinangor gaada yaa mahasiswa itb unpad dll butuh diskon,negatif
order tuh toko,netral
ness penyet bengkel tuh nama apas,netral
ajar jgn andal grabfoodshopeefood krn cuaca buruk gin ga order semangat moga bentar dapur,negatif
ku udh muncul lagi,positif
grgr tkt check out barang tp kalap makan mulu etdah,negatif
cari gofood promo wkwk,positif
bntr ku banned gara gara cancel mulu,negatif
sengaja nak i makan nape no riders,negatif
gue dapet pren wkwk solusiny,positif
beli makan via platform ga chat driver via apps ya status cuman kirim,negatif
iya kak bener emg gtu peta alamat udh tetep mana kadang drivernya sampe chat berkalikali udah hp jalan,negatif
gpsnya gmn sih mana drepernya mana tmpt jual dmn dah sampe depan rumah aja tp peta gak gerakapa hpku ya yg bermasalachhh,negatif
dah benda ni i klang valley je takat ni yg kot,negatif
nay sih kemarin dapet k b aja kalo,negatif
udh laper bgt hari bom makan udah buka grabfood bolak gak yg cocok eetdah milih makan aja susah bener milih jodoh,negatif
skrg dah grabfood gofood,netral
temen gw nitip sampe jam gw nungguin kagak kabar tau gitu gw sen udah gw makan,negatif
gabisa ngechat ya kirim,negatif
beli dimsum,positif
halo yaa akun gabisa make voucher kalo checkout tulis gagal checkout promo guna,negatif
emg klo beli promonya range segitu ya,positif
koin gw mulu taiiiiii,netral
pengenn tpi ku ga jangkau tempat,negatif
yak pesan makan alih an ribu makan makan dua,positif
nnti aq jdi cwokmuh,netral
dah minum la taktau la kg haha kunafa jom,netral
ingtkan kat johor dgn klang je hehhh,negatif
fess kopi enak deket kampus ya sen,netral
gantung managenya sih nder coba kalo makan cari promoan gojek grab gitu kuota listrik tokped kode diskon up to k lumayan nge hemat,netral
yg tau ga ngomong kalo pesan yg terima ga lengkap,netral
tp mixue dekat ga masuk,negatif
iya grab beb blom,negatif
akak promotion so dpt murah haah akak zat kerja kt kl ni,positif
sahabat,positif
ihhh enakk banget,positif
urwell hope u like it btw pake diskon gede kota sih gatau si kota iya ngga,positif
iyaaaa chacaa senang hati inget laaa memory otak gua penuh skripsi doang isi wkwkkww gua upload foto tangan lu ca kasih mbak,netral
tdi scroll dama gofood tpi blm nemu yg ken,negatif
done all rules hi thank you for the giveaway moga umur sehat lancar rezeki mudah urus bahagia anda traktir ken beli tekwan bismillah wish me luck,positif
min jual agama ga sebentar kaya laku keras,negatif
pake coba ndutt voucher potong harga,positif
kasi abang ak hujanhujanan,positif
kakak xiboba diskon gede ga bgt ga beli kagak diskon wkwkwk,positif
cloud kitchen jual pakai deh,netral
narik nih,positif
turut,positif
mama nyuruh beli makan siang saat barusan sen pake duit,netral
xiboba smi gaada yaa,negatif
ga twitter gak gua cowok mulu bangsat wkwk,negatif
skg tuh prank,negatif
gw daritadi bolakbalik gojek nyari yg murah tp mahal kembali alamat rumah grabbbb,negatif
pagi nemu gercep ramah banget,positif
sen makan enak gojekgrabshopee,netral
suka ga masuk tau chat pas buka udah spm awowkwowk abang,positif
beli makan pake promo flash sale lhoo hayo bom cobain cus cobain yook,positif
bener wktu rb skrg udh rb,negatif
gue daritadi scroll udah menit tp bingung beli makan,negatif
wkskakaksmak tau jual voucher gofood gituu pake ajaa vouchernya,positif
habis ngeliat malang pusing akuuu ken jajan,netral
alaaa time lunch takde rider ka wey orders dah kena cancelled org nang p la jd rider please byk restaurant tp rider takdak,negatif
orang suka bilang aja ken seblak kopi enak ga sih malem malem boros,negatif
kalo coba yg naskun bu har k dapet nder pake promo ya,positif
biaya layan banget ongkirnya gede banget,negatif
iya bener banget udahmah potong ongkirnya kecil,negatif
buka niat cek harga doang ga sengaja pencet bayar karna ga sadar jd gabisa dibatalin,negatif
scroll jam cari chicken wings checkout rujak,netral
mending pake promo udah ga cape ga ribet k,positif
salah masang alamat anjrit untung si mas nya ngga ngambek,negatif
mudah mudah isiin pay jajan,positif
min biaya admin kaya rb gaksih mahal dr ongkir,negatif
sen roti canai along bangkinang nama tempat maps sih deket garuda kek spbu deh,positif
payah bnr dpt driver tinggal mandi tidur gituuu aneh aja,negatif
mas mas nih,netral
mamang gofood grabfood gw jg neng kalo senam gw,positif
gofood kayak wkwk,netral
ken pecel ayam aja rb udh dpt ayam kalo gk pake nasi,positif
nder mcd mcd beli eskrim doang trus beli ayam pake anter ojolnya meja kasir meja aowkkw,positif
hai kak driver tp blm verifikasi ya,positif
ken ikut tempat gak,negatif
hehehehe pegi kat kedai order tunggu rider collect order sy dah standby situ utk receive senang kerja rider duit masyuukkk,positif
ya allah sen martabak jam gin drivernya cewek,positif
tukang bubur keliling kaya sulam gak si rumah bakso doang keliling ken bubur banget mager jalan jg mager top up,negatif
kangen w udah scroll jam siang nyambi nyari kontak sekolah nyambi scroll,netral
mlsnya ngekos suka bingung pilih makan,negatif
gimana daerah g tercover antar makan kayak grab jenis mentah ajantar ku belikan bakso warung rumah,negatif
lepas dr case nasi padang babi turut dr platform onlinefood an mesti fitur informasi halal non halal nya kali kebel makan non halal yuk yuk hayp yg ngawalin gofood grabfood or,netral
minggu main cerita temen yg jd driver trus cerita ttg kaum pelangi yg resah driver ojol trus cerita mba yg sengaja kembenan anduk doang nerima order pas puasa bilang untung ga nawar bayar pake anu kaya siskae,negatif
ga pake gofoodenakan grab,netral
ken beli dimsum dah tutup,negatif
malem malem laper saldo doang anjrit wkwkwkwk top up k sisa,negatif
kali make gasihh diskon k free ongkir tuh,positif
kagak anjir gue udh bolak cek gofood grab kagak promo hadehh sebel,negatif
tpi kesi abangnye semarang ujan tpi klo masak sndiri mager anjak dri kasur,netral
udah maem sayur kelor aja gpake nasi diet gkmau gendut set jam order gt masakin nasi goreng ya iyadeh nasgor habis,positif
kota,negatif
sales area tambun yg kontak ya,netral
asli onbid hari mall bawa pinggir tetep aja gak bunyi sampe malem,negatif
duhai driver datang bawa arnold geprek nanti laper banget boss,netral
gais klo klian sen apa kalo kasi tip ato lebihin yaa driver nya tu kerja keras bangettt nganter sen klian kerennn ih,positif
malam mesen mas driver yg nganter bawa istri sm anak liat happy bgt nikmat malam minggu terimakasih ya allah suguh visual yg sederhana dgn arti yg,positif
saking percaya kalo nasi padang halal rm padang beneran milik padang gak buka siang ramadan tetep buka gelap sahur orang awam ngerasa nasi padang identik halal senggol,netral
jd td kn gue laper tp ga ken mkn nasi gt trs liat yauda gue sen takoyaki tu biji ya anjer,positif
buka last last mesti pilih even pilih tu kadang had kadang kedai yg join yg ok reviews yg claim voucher yg beli saving pass sen ni before beli amp tolak coins bantu utk jimat ho yeah,netral
malam minggu rebah cape pagi habis olahraga njarem bangun tidur lapar ehhh kamar makan hujann gak saldo sopee mengsedih,negatif
malem malem sen ya diet klo hwhwhw,positif
ga laper ken ape yaaaa,netral
jarang sih nya dn ongkir mahal bgt tpi klo dapet ken beli khog guan salt cheese makaroni bang,negatif
gajelas lu,negatif
ya bingung dsni gda,negatif
aplikasi lu error udah semingguu ajggg emosi,negatif
anjrit kaga bet titik anjj tb gw ciplaz,negatif
yaallah rencana ga makan luar,positif
misi kak tolong cek dm tks,netral
gue udah diemdiem ngambil sen mas nyebut nama gue kenceng banget,negatif
kl motor mending cari sewa akun minggu an hari nyari k mas kl shopeeduf,netral
jadi lucu malem kakak beli kue bandung pas pulang tp kakak yg satu kue bandung jg pas tempat ketemu sm drivernya tp gatau kalo sen kakaku yg satu wkwk,netral
dah biasa kalo weekend malemny tuh ken jajan buka yg cari bakso nyoba keranjangin mo checkout mikirnya bas kali ujungny gajadi makan indomie jalan,negatif
gue suka bayar gofood pake cashless biar ga ribet gitu ga ribet duit kembali proses terima makan kaga kalo dalam rumah gue sibuk abang suruh cantolin aja pagar rumah,positif
banding skrg gede,netral
gataunih,netral
eh yo wkwkkw,netral
tuh lot bgt siii sen,negatif
lg nungguin abang nich kalo ndit lg ap,positif
males malem minggu males macet parkir susah makan murah rb dapet kalo kayak siasia aja jam malem pas sepi parkir pinggir jalan duduk ngelamun,netral
geh saran makan enak yg,netral
eh emg kayak gitu ngaruh ya kak dlu ganti akun pas kayak gtu,netral
hai kak langsung cek grabfood ya klaim voucher order mie gaco,positif
kayak nya sih aplikasi ngebug,negatif
takde rider ni pergi stadium eh,negatif
min bantu kawan,netral
nunggu driver,netral
ya mama emang liat konser bilang ya iya mi liat konser besok pulang bilang temen rl ku nonton orang habis ditanyain ber bilang ya mutualku,netral
driver nya sopan bgt pake bahasa jawa trs bilang rantos kak kukirain nama restonya rantos gimana eh kirain salah resto tunggu kak,positif
pas udah mesen iseng cek gofood murah gofood shshshsh,netral
pesan grabfood,negatif
lg nungguin makan didalemmmm,netral
nunggu,netral
bm gaco tp yg bekas rame bat anjir sampe gofood grabfood tutup,negatif
kalo gofood resto confirm gak langsung dapet driver nungguin menit kayak sampe makan abis search for driver driver sampe lokasi kayak nunggu bentar cabs deh diskon syarat,netral
gua ojol tolong customer gojek grab maxim traveloka eat tolong banget mah emang bayar cash tolong banget siap ojol geser pesan ga cash non cash,netral
mari manfaat voucher siasia,positif
domisili bandung tolong rekomendasi makan enak hatur nuhun,netral
beli aja kali ya,positif
bener bangett klo weekend males gofood amp,netral
ga ya beli gaco ken level aja tp gaada pilih,negatif
helm,netral
sibuk po ga nerima order,negatif
crushmu gojek kali kalo besok gonceng ayam geprek brrt,netral
merip banget ama garagara speedrun,netral
depan nganter makan orang langsung bilang ayangnya seokjin happy birthday nya nanya mba latifa ya yg nganter nama ayang seokjin bodo bilang lebay,positif
kak express ngirim paket rumah nomor brp ya ga cantum ha paket ga co halo kak nganter makan kakak ha apasih ga order,netral
diskon,positif
ongkir sengaja naik jarak km hitung km aplikasi ojol yg hnya rb ongkirnya rb bkn hnya resto aja yg naik ongkirnya bbrp jg krn ga mngkn cek smua,negatif
hujan gue bm jajan udh nyari drtd pdhl,negatif
wkwkwkwkkwwkwk sampe betelor gak,netral
aduh iyaa kasi bapa ayam nya takut ayam idup gegara macet ga sampe,negatif
semenjak direkomendasiin beli makan pake teroooss,positif
khawatir bapak sakit pingang mobil jakarta,negatif
keburu kering ju wkwkwk mantep csnya ngeluh mnt gak gera ganti drivernya,negatif
parah sih promonya,positif
sih chat status kirim udah kek gin ntar kira w gak respon zzz,negatif
nyari seblak eh pas disamperin gk bayar make shopeepay,negatif
knpa skrang jd bgt dah kburu tidur gua,negatif
jauhh bgt,negatif
kak kalo beli mending bagus additut nya,positif
ya kerja kak nama order masuk driver gak tau order masuk bbrapa resto yg gak cancel makan bawa pulang driver,negatif
ehh ya inget uang kasi k kmren,positif
banget soto km,negatif
lepas dr case nasi padang babi turut dr platform onlinefood an mesti fitur informasi halal non halal nya kali kebel makan non halal yuk yuk hayp yg ngawalin gofood grabfood or,positif
ya gw gapernah dapet diskon gofood grabfood yg best deal diskon lumayan pas udah total tetep aja kurang doang wkwk,negatif
tuju dosen ui kacau bgt tokped rapi kalo ga udh gue uninstall wkwkwk,netral
beli ayamas ekor nasi buka beli nasi putih telur dadar nak avoid small order fees eh tetiba telur dadar kertas sedekah kah kah orang kedai orang susah,positif
halo komplain perihal pesan td pesan krushers krushers fresh alias kulkas tekstur es batu skg kualitas krushers,negatif
je konsep mcm kerja jela ramai je rider yg smua delivery id gf fp amp mcm,netral
gak hp jiwa bersih makan sesuai butuh makan cepat saji gofood emakku langsung bawa jaman jdi sejahtera,positif
kak gojekgrabshopeefood gak ya,netral
bangun tidur blm mesen nih,netral
canggu yg lumayan enak rumah makan happy rendang bal robok warung papa sanz pilih cari app gofoodgrabfoodshopeefood search rendang babi hope it helps,positif
kakak putar kode etik mitra kemudi buka taut,netral
ken ngegrabshopee aja jalan jalan,positif
anjg ku error mulu,negatif
ni lunch malam order breakfast pagi missing item lunch nasi telur,negatif
enak banget tp mahal skrg yg geprek goo komplit rb an diskon gasampe rb jdinya skrg udh rb aja,negatif
kerja pastu dar dah pastu hujan pastu lapar pastu kesi nak order lapar order kilat,netral
ajarin beli makan,netral
maxim guys helm,negatif
family mart gombak ni cam dah ati dah normal time ni close amek order apps foodpanda grab,netral
maxim helm,negatif
kirain gak godood awkwkwk,netral
beli mendung jd males jalan hshshs ntar ajaaa,positif
mas mas seru seru hahah,positif
ita sen gaa,positif
skrg mahal yaaa lg kere males jd gabisa andal,negatif
dapet beasiswa kuliah ken nyambi kerja kurir gofoodshopeefood kadang tetep ken ngasih ortu klo kurir makan gitu maksimal target ga ya klo kurir gitu kek enak aja kpn kerja pikir kek gin gas,netral
orang jemput pi kenduri sihat ingin nak makan daging masak hitam dr suruh kurang daging malam order,netral
samaa beli gojek mahal ongkirnya,negatif
nawari loh tawar opo ngono ooo dasar arep pisuh,negatif
makan nya bnyk driver ngeluh order sepi trmasuk w wkwk salah alesan nya,negatif
belummm lg ng,netral
tekan mitra drivernya aturanaturan yg kadang masuk akalsehingga mitra driver buat bela hak mohon evaluasi atur yg kadang berat driver lapang,negatif
partner gak sahabat deh kalo ya gak jual gak pasang etalase seh sampek x dibatalin yah gimana gw ngotot si ken mam situ,negatif
bingung bgt makan udah jam buka grabgojek gak order,negatif
hi ka maaf kendala trkait kndala pmbelian reto tutup stlh mimin cek status psanan tlh trselesaikn shg,negatif
kadang profil driver gak sesuai ya profil ibuibu masmas,negatif
top orang hubung kurir shoppee,netral
ojokkk driver ae wes cukupp,netral
bundlingnya agam varian pilih jamin enak lets order the happiness bundling aplikasi gojek,positif
coba cari grabfood kaa gofood ga,netral
